month,rideable_type,member_casual,number_of_user
"April, 2020",docked_bike,casual,23628
"April, 2020",docked_bike,member,61148
"May, 2020",docked_bike,casual,86909
"May, 2020",docked_bike,member,113365
"June, 2020",docked_bike,casual,154718
"June, 2020",docked_bike,member,188287
"July, 2020",electric_bike,casual,840
"July, 2020",electric_bike,member,1095
"July, 2020",docked_bike,casual,268456
"July, 2020",docked_bike,member,281089
"August, 2020",electric_bike,casual,58918
"August, 2020",electric_bike,member,69434
"August, 2020",docked_bike,member,232832
"August, 2020",docked_bike,casual,171774
"September, 2020",electric_bike,casual,65129
"September, 2020",electric_bike,member,87047
"September, 2020",docked_bike,member,156594
"September, 2020",docked_bike,casual,79883
"October, 2020",electric_bike,casual,42086
"October, 2020",electric_bike,member,66048
"October, 2020",docked_bike,member,105569
"October, 2020",docked_bike,casual,46013
"November, 2020",docked_bike,casual,4968
"November, 2020",docked_bike,member,8036
"November, 2020",classic_bike,member,59297
"November, 2020",classic_bike,casual,11319
"November, 2020",electric_bike,member,34160
"November, 2020",electric_bike,casual,13793
"December, 2020",docked_bike,casual,2105
"December, 2020",docked_bike,member,1
"December, 2020",classic_bike,member,53441
"December, 2020",classic_bike,casual,8259
"December, 2020",electric_bike,member,25275
"December, 2020",electric_bike,casual,7753
"January, 2021",classic_bike,member,29317
"January, 2021",classic_bike,casual,5695
"January, 2021",electric_bike,member,10174
"January, 2021",electric_bike,casual,3165
"January, 2021",docked_bike,casual,1271
"February, 2021",electric_bike,casual,22848
"February, 2021",electric_bike,member,37446
"February, 2021",classic_bike,member,107017
"February, 2021",classic_bike,casual,45528
"February, 2021",docked_bike,casual,15657
"March, 2021",electric_bike,casual,41111
"March, 2021",electric_bike,member,56786
"March, 2021",classic_bike,member,143843
"March, 2021",docked_bike,casual,24714
"March, 2021",classic_bike,casual,70776