month,member_casual,number_of_user
"April, 2020",casual,23628
"April, 2020",member,61148
"August, 2020",casual,230692
"August, 2020",member,302266
"December, 2020",casual,18117
"December, 2020",member,78717
"February, 2021",casual,84033
"February, 2021",member,144463
"January, 2021",casual,10131
"January, 2021",member,39491
"July, 2020",casual,269296
"July, 2020",member,282184
"June, 2020",casual,154718
"June, 2020",member,188287
"March, 2021",casual,136601
"March, 2021",member,200629
"May, 2020",casual,86909
"May, 2020",member,113365
"November, 2020",casual,30080
"November, 2020",member,101493
"October, 2020",casual,88099
"October, 2020",member,171617
"September, 2020",casual,145012
"September, 2020",member,243641